Country,2024 Population,2023 Population,Area,Density,Growth Rate,World Rank,Currency Code,Exchange Rate to USD
Spain,47910526,"47,911,579",506K,499.6K,96,0%,EUR,0.8968
Algeria,46814308,"46,164,219",2.4M,2.4M,20,1.41%,DZD,132.3575
Iraq,46042015,"45,074,049",438.3K,434.1K,106,2.15%,IQD,1310.4028
Argentina,45696159,"45,538,401",2.8M,2.7M,17,0.35%,ARS,967.92
Afghanistan,42647492,"41,454,761",652.2K,652.2K,65,2.88%,AFN,68.3872
Yemen,40583164,"39,390,799",528K,528K,77,3.03%,YER,250.3315
Canada,39742430,"39,299,105",10M,9M,4,1.13%,CAD,1.3467
Poland,38539201,"38,762,844",312.7K,306.1K,126,-0.58%,PLN,3.8224
Morocco,38081173,"37,712,505",446.6K,446.3K,85,0.98%,MAD,9.6701
Angola,37885849,"36,749,906",1.2M,1.2M,30,3.09%,AOA,951.4286
Ukraine,37860221,"37,732,836",603.5K,579.4K,65,0.34%,UAH,41.2378
Uzbekistan,36361859,"35,652,307",447.4K,440.6K,83,1.99%,UZS,12742.2057
Malaysia,35557673,"35,126,298",330.8K,328.6K,108,1.23%,MYR,4.1317
Mozambique,34631766,"33,635,160",801.6K,786.4K,44,2.96%,MZN,63.9498
Ghana,34427414,"33,787,914",238.5K,227.5K,151,1.89%,GHS,15.8084
Peru,34217848,"33,845,617",1.3M,1.3M,27,1.1%,PEN,3.7621
Saudi Arabia,33962757,"33,264,292",2.1M,2.1M,16,2.1%,SAR,3.75
Madagascar,31964956,"31,195,932",587K,581.8K,55,2.47%,MGA,4527.3472
Ivory Coast,31934230,"31,165,654",322.5K,318K,100,2.47%,N/A,N/A
Nepal,29651054,"29,694,614",147.2K,143.3K,207,-0.15%,NPR,133.799
Cameroon,29123744,"28,372,687",475.4K,472.7K,62,2.65%,XAF,588.2728
Venezuela,28405543,"28,300,854",916.4K,882K,32,0.37%,VES,36.8507
Niger,27032412,"26,159,867",1.3M,1.3M,21,3.34%,XOF,588.2728
Australia,26713205,"26,451,124",7.7M,7.7M,3,0.99%,AUD,1.4601
North Korea,26498823,"26,418,204",120.5K,120.4K,220,0.31%,N/A,N/A
Syria,24672760,"23,594,623",185.2K,183.6K,134,4.57%,SYP,13081.7707
Mali,24478595,"23,769,127",1.2M,1.2M,20,2.98%,XOF,588.2728
Burkina Faso,23548781,"23,025,776",273K,273.6K,86,2.27%,XOF,588.2728
Taiwan,23213962,"23,317,145",36.2K,36.2K,641,-0.44%,TWD,31.8979
Sri Lanka,23103565,"22,971,617",65.6K,61.9K,373,0.57%,LKR,300.9176
Malawi,21655286,"21,104,482",118.5K,94.3K,230,2.61%,MWK,1739.9433
Zambia,21314956,"20,723,965",752.6K,743.4K,29,2.85%,ZMW,26.5087
Kazakhstan,20592571,"20,330,104",2.7M,2.7M,8,1.29%,KZT,478.077
Chad,20299123,"19,319,064",1.3M,1.3M,16,5.07%,XAF,588.2728
Chile,19764771,"19,658,835",756.1K,743.5K,27,0.54%,CLP,911.1169
Romania,19015088,"19,118,479",238.4K,230.1K,83,-0.54%,RON,4.448
Somalia,19009151,"18,358,615",637.7K,627.3K,30,3.54%,SOS,572.1432
Senegal,18501984,"18,077,573",196.7K,192.5K,96,2.35%,XOF,588.2728
Guatemala,18406359,"18,124,838",108.9K,107.2K,172,1.55%,GTQ,7.7329
Netherlands,18228742,"18,092,524",41.9K,33.7K,541,0.75%,EUR,0.8968
Ecuador,18135478,"17,980,083",276.8K,248.4K,73,0.86%,USD,1
Cambodia,17638801,"17,423,880",181K,176.5K,100,1.23%,KHR,4065.6241
Zimbabwe,16634373,"16,340,822",390.8K,386.9K,43,1.8%,ZWL,13.9912
Guinea,14754785,"14,405,468",245.9K,245.7K,60,2.42%,GNF,8660.8151
Benin,14462724,"14,111,034",112.6K,112.8K,128,2.49%,XOF,588.2728
Rwanda,14256567,"13,954,471",26.3K,24.7K,578,2.16%,RWF,1343.837
Burundi,14047786,"13,689,450",27.8K,25.7K,547,2.62%,BIF,2901.9859
Bolivia,12413315,"12,244,159",1.1M,1.1M,11,1.38%,BOB,6.9258
Tunisia,12277109,"12,200,431",163.6K,155.4K,79,0.63%,TND,3.0204
South Sudan,11943408,"11,483,374",619.7K,631.9K,19,4.01%,SSP,3049.4088
Haiti,11772557,"11,637,398",27.8K,27.6K,427,1.16%,HTG,131.9961
Belgium,11738763,"11,712,893",30.5K,30.3K,388,0.22%,EUR,0.8968
Jordan,11552876,"11,439,213",89.3K,88.8K,130,0.99%,JOD,0.709
Dominican Republic,11427557,"11,331,265",48.7K,48.3K,237,0.85%,DOP,60.0835
United Arab Emirates,11027129,"10,642,081",83.6K,71K,155,3.62%,AED,3.6725
Cuba,10979783,"11,019,931",109.9K,103.8K,106,-0.36%,CUP,24.0
Honduras,10825703,"10,644,851",112.5K,111.9K,97,1.7%,HNL,24.8173
Czech Republic,10735859,"10,809,716",78.9K,77.2K,139,-0.68%,CZK,22.5204
Sweden,10606999,"10,551,494",450.3K,407.3K,26,0.53%,SEK,10.1655
Tajikistan,10590927,"10,389,799",143.1K,138.8K,76,1.94%,TJS,10.6341
Papua New Guinea,10576502,"10,389,635",462.8K,452.9K,23,1.8%,PGK,3.9428
Portugal,10425292,"10,430,738",92.1K,91.6K,114,-0.05%,EUR,0.8968
Azerbaijan,10336577,"10,318,207",86.6K,82.6K,125,0.18%,AZN,1.6999
Greece,10047817,"10,242,908",132K,128.9K,78,-1.9%,EUR,0.8968
Hungary,9676135,"9,686,463",93K,91.3K,106,-0.11%,HUF,354.1963
Togo,9515236,"9,304,337",56.8K,54.4K,175,2.27%,XOF,588.2728
Israel,9387021,"9,256,314",20.8K,21.6K,434,1.41%,ILS,3.7448
Austria,9120813,"9,130,429",83.9K,82.5K,111,-0.11%,EUR,0.8968
Belarus,9056696,"9,115,680",207.6K,203K,45,-0.65%,BYN,3.25
Switzerland,8921981,"8,870,561",41.3K,39.5K,226,0.58%,CHF,0.8494
Sierra Leone,8642022,"8,460,512",71.7K,72.2K,120,2.15%,SLL,22570.6365
Laos,7769819,"7,664,993",236.8K,230.8K,34,1.37%,LAK,21963.2088
Turkmenistan,7494498,"7,364,438",488.1K,469.9K,16,1.77%,TMT,3.5012
Hong Kong,7414909,"7,442,734",1.1K,1.1K,"7,062",-0.37%,HKD,7.786
Libya,7381023,"7,305,659",1.8M,1.8M,4,1.03%,LYD,4.7543
Kyrgyzstan,7186009,"7,073,516",200K,191.8K,37,1.59%,KGS,84.217
Paraguay,6929153,"6,844,146",406.8K,397.3K,17,1.24%,PYG,7798.5023
Nicaragua,6916140,"6,823,613",130.4K,120.3K,57,1.36%,NIO,36.7731
Bulgaria,6757689,"6,795,803",110.9K,108.6K,62,-0.56%,BGN,1.7533
Serbia,6736216,"6,773,201",88.4K,87.5K,77,-0.55%,RSD,104.695
El Salvador,6338193,"6,309,624",21K,20.7K,306,0.45%,USD,1
Republic of the Congo,6332961,"6,182,885",342K,341.5K,19,2.43%,N/A,N/A
Denmark,5977412,"5,948,136",43.1K,40K,149,0.49%,DKK,6.6944
Singapore,5832387,"5,789,090",710,718,"8,123",0.75%,SGD,1.287
Lebanon,5805962,"5,773,493",10.5K,10.2K,568,0.56%,LBP,89500.0
Finland,5617310,"5,601,185",338.4K,303.9K,18,0.29%,EUR,0.8968
Liberia,5612817,"5,493,031",111.4K,96.3K,58,2.18%,LRD,195.3467
Norway,5576660,"5,519,167",323.8K,364.3K,15,1.04%,NOK,10.5178
Slovakia,5506760,"5,518,055",49K,49K,112,-0.2%,EUR,0.8968
Palestine,5495443,"5,409,202",6.2K,6K,913,1.59%,N/A,N/A
Central African Republic,5330690,"5,152,421",623K,623K,9,3.46%,XAF,588.2728
Oman,5281538,"5,049,269",309.5K,309.5K,17,4.6%,OMR,0.3845
Ireland,5255017,"5,196,630",70.3K,68.9K,76,1.12%,EUR,0.8968
New Zealand,5213944,"5,172,836",270.5K,263.3K,20,0.79%,NZD,1.5922
Mauritania,5169395,"5,022,441",1M,1M,5,2.93%,MRU,39.762
Costa Rica,5129910,"5,105,525",51.1K,51.1K,100,0.48%,CRC,517.9861
Kuwait,4934507,"4,838,782",17.8K,17.8K,277,1.98%,KWD,0.3053
Panama,4515577,"4,458,759",75.4K,74.2K,61,1.27%,PAB,1.0
Croatia,3875325,"3,896,023",56.6K,56K,69,-0.53%,HRK,6.7571
Georgia,3807670,"3,807,492",69.7K,69.5K,55,0%,GEL,2.7272
Eritrea,3535603,"3,470,390",117.6K,121K,29,1.88%,ERN,15.0
Mongolia,3475540,"3,431,932",1.6M,1.6M,2,1.27%,MNT,3399.8832
Uruguay,3386588,"3,388,081",181K,175K,19,-0.04%,UYU,42.1424
Puerto Rico,3242204,"3,242,023",8.9K,8.9K,366,0.01%,USD,1
Bosnia and Herzegovina,3164253,"3,185,073",51.2K,51.2K,62,-0.65%,BAM,1.754
Qatar,3048423,"2,979,082",11.6K,11.5K,265,2.33%,QAR,3.64
Moldova,3034961,"3,067,070",33.8K,32.9K,92,-1.05%,MDL,17.422
Namibia,3030131,"2,963,095",825.6K,823.3K,4,2.26%,NAD,17.2589
Armenia,2973840,"2,943,393",29.7K,28.5K,104,1.03%,AMD,387.4423
Lithuania,2859110,"2,854,099",65.3K,62.6K,46,0.18%,EUR,0.8968
Jamaica,2839175,"2,839,786",11K,10.8K,262,-0.02%,JMD,156.8936
Albania,2791765,"2,811,655",28.7K,27.4K,102,-0.71%,ALL,88.6795
Gambia,2759988,"2,697,845",10.7K,10.1K,273,2.3%,GMD,70.706
Gabon,2538952,"2,484,789",267.7K,257.7K,10,2.18%,XAF,588.2728
Botswana,2521139,"2,480,244",582K,566.7K,4,1.65%,BWP,13.1028
Lesotho,2337423,"2,311,472",30.4K,30.4K,77,1.12%,LSL,17.2589
Guinea Bissau,2201352,"2,153,339",36.1K,28.1K,78,2.23%,N/A,N/A
Slovenia,2118697,"2,118,396",20.3K,20.1K,105,0.01%,EUR,0.8968
Equatorial Guinea,1892516,"1,847,549",28.1K,28.1K,67,2.43%,XAF,588.2728
Latvia,1871871,"1,882,396",64.6K,62.2K,30,-0.56%,EUR,0.8968
North Macedonia,1823009,"1,831,802",25.7K,25.2K,72,-0.48%,MKD,55.1323
Bahrain,1607049,"1,569,666",765,785,"2,047",2.38%,BHD,0.376
Trinidad and Tobago,1507782,"1,502,932",5.1K,5.1K,294,0.32%,TTD,6.7853
Timor Leste,1400638,"1,384,286",14.9K,14.9K,94,1.18%,N/A,N/A
Estonia,1360546,"1,367,196",45.2K,42.8K,32,-0.49%,EUR,0.8968
Cyprus,1358282,"1,344,976",9.3K,9.2K,147,0.99%,EUR,0.8968
Mauritius,1271169,"1,273,588",2K,2K,626,-0.19%,MUR,45.6931
Eswatini,1242822,"1,230,506",17.4K,17.2K,72,1%,SZL,17.2589
Djibouti,1168722,"1,152,944",23.2K,23.2K,50,1.37%,DJF,177.721
Fiji,928784,"924,145",18.3K,18.3K,51,0.5%,FJD,2.1878
Reunion,878591,"874,883",2.5K,2.5K,350,0.42%,N/A,N/A
Comoros,866628,"850,387",1.9K,1.9K,466,1.91%,KMF,441.2046
Guyana,831087,"826,353",215K,196.8K,4,0.57%,GYD,209.3695
Solomon Islands,819198,"800,005",28.9K,28K,29,2.4%,SBD,8.5037
Bhutan,791524,"786,385",38.4K,38.1K,21,0.65%,BTN,83.6244
Macau,720262,"713,912",33,33,"21,892",0.89%,MOP,8.0194
Luxembourg,673036,"665,098",2.6K,2.6K,261,1.19%,EUR,0.8968
Montenegro,638479,"633,552",13.8K,13.4K,47,0.78%,EUR,0.8968
Suriname,634431,"628,886",163.8K,156K,4,0.88%,SRD,30.8457
Western Sahara,590506,"579,729",266K,266K,2,1.86%,MAD,9.6701
Malta,539607,"532,956",316,320,"1,686",1.25%,EUR,0.8968
Maldives,527799,"525,994",300,300,"1,759",0.34%,MVR,15.4505
Cape Verde,524877,"522,331",4K,4K,130,0.49%,N/A,N/A
Brunei,462721,"458,949",5.8K,5.3K,88,0.82%,BND,1.287
Belize,417072,"411,106",23K,22.8K,18,1.45%,BZD,2.0
Bahamas,401283,"399,440",13.9K,10K,40,0.46%,BSD,1.0
Iceland,393396,"387,558",103K,100.8K,4,1.51%,ISK,134.936
Guadeloupe,375106,"376,517",1.6K,1.6K,230,-0.37%,EUR,0.8968
Martinique,343195,"346,002",1.1K,1.1K,304,-0.81%,EUR,0.8968
Vanuatu,327777,"320,409",12.2K,12.2K,27,2.3%,VUV,118.2362
Mayotte,326505,"316,015",374,374,873,3.32%,EUR,0.8968
French Guiana,308522,"303,402",83.5K,83.5K,4,1.69%,EUR,0.8968
New Caledonia,292639,"289,870",18.6K,18.3K,16,0.96%,XPF,107.0189
Barbados,282467,"282,336",430,430,657,0.05%,BBD,2.0
French Polynesia,281807,"281,118",4.2K,3.5K,81,0.25%,XPF,107.0189
Sao Tome and Principe,235536,"230,871",964,960,245,2.02%,N/A,N/A
Samoa,218019,"216,663",2.8K,2.8K,78,0.63%,WST,2.7021
Curacao,185482,"185,427",444,444,418,0.03%,N/A,N/A
Saint Lucia,179744,"179,285",616,610,295,0.26%,XCD,2.7
Guam,167777,"166,506",549,540,311,0.76%,USD,1
Kiribati,134518,"132,530",811,810,166,1.5%,AUD,1.4601
Seychelles,130418,"127,951",452,460,284,1.93%,SCR,12.1858
Grenada,117207,"117,081",344,340,345,0.11%,XCD,2.7
Micronesia,113160,"112,630",702,700,162,0.47%,USD,1
Aruba,108066,"107,939",180,180,600,0.12%,AWG,1.79
Tonga,104175,"104,597",747,720,145,-0.4%,TOP,2.3017
Jersey,103846,"103,674",116,120,865,0.17%,N/A,N/A
Saint Vincent and the Grenadines,100616,"101,323",389,390,258,-0.7%,N/A,N/A
